size,,,w/d,1h,1.5h,2h,3h,4h
W8,x,10,0.33,0.145,0.266,,,
W12,x,14,0.36,0.133,0.263,,,
W12,x,16,0.41,0.117,0.23,,,
W6,x,12,0.44,0.109,0.215,0.338,,
W8,x,15,0.48,0.1,0.197,0.31,,
W10,x,22,0.52,0.092,0.182,0.286,,
W4,x,13,0.55,0.087,0.172,0.271,,
W6,X,16,0.58,0.083,0.163,0.257,0.504,
W8,x,24,0.59,0.075,0.13,0.213,0.504,
W14,x,34,0.63,0.075,0.13,0.213,0.489,
W8,x,28,0.68,0.07,0.13,0.213,0.453,
W8,x,35,0.74,0.065,0.128,0.201,0.416,
W10,x,39,0.78,0.061,0.121,0.191,0.395,
W10,x,49,0.84,0.057,0.113,0.177,0.367,
W10,x,45,0.89,0.054,0.106,0.167,0.346,
W16,x,57,0.95,0.05,0.099,0.157,0.324,
W8,x,48,1,0.048,0.095,0.149,0.308,
W14,x,90,1.07,0.045,0.088,0.139,0.288,
W10,x,68,1.14,0.042,0.083,0.131,0.27,
W18,x,97,1.21,0.04,0.078,0.123,0.255,
W10,x,77,1.28,0.038,0.074,0.116,0.241,
W16,x,100,1.36,0.036,0.069,0.109,0.227,
W10,x,88,1.45,0.034,0.065,0.103,0.213,
W14,x,132,1.54,0.032,0.061,0.097,0.2,
W12,x,120,1.64,0.03,0.058,0.091,0.188,
W33,x,221,1.72,0.028,0.058,0.088,0.188,0.433
W14,x,159,1.77,0.028,0.056,0.085,0.187,0.423
W14,x,176,1.95,0.025,0.051,0.077,0.178,0.384
W14,x,193,2.12,0.023,0.047,0.071,0.164,0.353
W14,x,211,2.3,0.023,0.043,0.066,0.151,0.326
W14,x,233,2.52,0.023,0.04,0.06,0.138,0.297
W14,x,257,2.75,0.023,0.036,0.055,0.126,0.272
W14,x,283,3,0.023,0.033,0.05,0.116,0.194
